"Time	Open	High	Low	Close	Volume";Open;High;Low;Close
"2007-01-31 00:00	1.29590	1.30356	1.29239	1.30265	2007964";;;;
"2007-02-01 00:00	1.30284	1.30482	1.30011	1.30184	2001197";;;;
"2007-02-02 00:00	1.30178	1.30615	1.29474	1.29562	1868810";;;;
"2007-02-04 00:00	1.29610	1.29621	1.29498	1.29536	143264";;;;
"2007-02-05 00:00	1.29537	1.29651	1.29126	1.29303	2004813";;;;
"2007-02-06 00:00	1.29302	1.29904	1.29095	1.29742	1994460";;;;
"2007-02-07 00:00	1.29743	1.30232	1.29647	1.30184	2006903";;;;
"2007-02-08 00:00	1.30183	1.30428	1.29759	1.30340	2017828";;;;
"2007-02-09 00:00	1.30336	1.30452	1.29817	1.30047	1867663";;;;
"2007-02-11 00:00	1.29890	1.30237	1.29851	1.30136	150471";;;;
"2007-02-12 00:00	1.30125	1.30359	1.29390	1.29557	2039009";;;;
"2007-02-13 00:00	1.29562	1.30426	1.29498	1.30351	1994654";;;;
"2007-02-14 00:00	1.30353	1.31488	1.30218	1.31329	2008048";;;;
"2007-02-15 00:00	1.31343	1.31716	1.31173	1.31244	2012713";;;;
"2007-02-16 00:00	1.31264	1.31443	1.30958	1.31356	1865426";;;;
"2007-02-18 00:00	1.31364	1.31621	1.31338	1.31490	145578";;;;
"2007-02-19 00:00	1.31507	1.31610	1.31201	1.31487	2029303";;;;
"2007-02-20 00:00	1.31491	1.31881	1.31271	1.31448	2013942";;;;
"2007-02-21 00:00	1.31453	1.31648	1.31116	1.31364	2008675";;;;
"2007-02-22 00:00	1.31365	1.31404	1.30796	1.31234	2004744";;;;
"2007-02-23 00:00	1.31223	1.31863	1.31013	1.31627	1870924";;;;
"2007-02-25 00:00	1.31650	1.31901	1.31629	1.31865	144609";;;;
"2007-02-26 00:00	1.31848	1.32024	1.31491	1.31788	2003910";;;;
"2007-02-27 00:00	1.31803	1.32578	1.31579	1.32227	2000971";;;;
"2007-02-28 00:00	1.32237	1.32358	1.31787	1.32330	1989258";;;;
"2007-03-01 00:00	1.32343	1.32389	1.31547	1.31666	2010700";;;;
"2007-03-02 00:00	1.31702	1.31998	1.31408	1.31882	1854013";;;;
"2007-03-04 00:00	1.31949	1.32101	1.31680	1.31726	143696";;;;
"2007-03-05 00:00	1.31745	1.31752	1.30723	1.30935	2006965";;;;
"2007-03-06 00:00	1.30943	1.31390	1.30798	1.31330	2001239";;;;
"2007-03-07 00:00	1.31321	1.31844	1.31086	1.31648	1999225";;;;
"2007-03-08 00:00	1.31667	1.31813	1.31154	1.31396	1995920";;;;
"2007-03-09 00:00	1.31396	1.31583	1.30864	1.31118	1859100";;;;
"2007-03-11 00:00	1.31236	1.31415	1.31068	1.31175	192381";;;;
"2007-03-12 00:00	1.31193	1.31992	1.31054	1.31813	2009286";;;;
"2007-03-13 00:00	1.31811	1.32186	1.31547	1.31927	2003765";;;;
"2007-03-14 00:00	1.31920	1.32440	1.31764	1.32238	2024020";;;;
"2007-03-15 00:00	1.32240	1.32933	1.31919	1.32880	2003868";;;;
"2007-03-16 00:00	1.32870	1.33381	1.32792	1.33106	1804041";;;;
"2007-03-18 00:00	1.33064	1.33241	1.33064	1.33204	186953";;;;
"2007-03-19 00:00	1.33206	1.33213	1.32780	1.33037	2029661";;;;
"2007-03-20 00:00	1.33035	1.33232	1.32701	1.33113	2693602";;;;
"2007-03-21 00:00	1.33128	1.34094	1.32861	1.33947	2675922";;;;
"2007-03-22 00:00	1.33954	1.33979	1.33090	1.33241	2670632";;;;
"2007-03-23 00:00	1.33230	1.33407	1.32762	1.32789	2425093";;;;
"2007-03-25 00:00	1.32801	1.32933	1.32571	1.32689	206877";;;;
"2007-03-26 00:00	1.32703	1.33455	1.32534	1.33268	632612";;;;
"2007-03-27 00:00	1.33272	1.33667	1.33013	1.33386	612785";;;;
"2007-03-28 00:00	1.33395	1.33716	1.32984	1.33110	627257";;;;
"2007-03-29 00:00	1.33110	1.33517	1.33024	1.33244	632010";;;;
"2007-03-30 00:00	1.33239	1.33985	1.32880	1.33535	881928";;;;
"2007-04-01 00:00	1.33710	1.33770	1.33312	1.33402	83435";;;;
"2007-04-02 00:00	1.33398	1.33802	1.33370	1.33663	1083419";;;;
"2007-04-03 00:00	1.33663	1.33802	1.33179	1.33350	1091930";;;;
"2007-04-04 00:00	1.33350	1.33810	1.33270	1.33720	1055743";;;;
"2007-04-05 00:00	1.33720	1.34410	1.33525	1.34225	935178";;;;
"2007-04-06 00:00	1.34220	1.34268	1.33640	1.33780	393636";;;;
"2007-04-08 00:00	1.33740	1.33798	1.33590	1.33610	41209";;;;
"2007-04-09 00:00	1.33615	1.33810	1.33400	1.33790	452817";;;;
"2007-04-10 00:00	1.33790	1.34560	1.33755	1.34205	1192351";;;;
"2007-04-11 00:00	1.34210	1.34415	1.34065	1.34350	1047311";;;;
"2007-04-12 00:00	1.34350	1.35155	1.34315	1.34965	855297";;;;
"2007-04-13 00:00	1.34965	1.35525	1.34845	1.35255	392266";;;;
"2007-04-15 00:00	1.35540	1.35770	1.35221	1.35610	64269";;;;
"2007-04-16 00:00	1.35610	1.35670	1.35221	1.35340	967168";;;;
"2007-04-17 00:00	1.35340	1.35940	1.35270	1.35840	1042362";;;;
"2007-04-18 00:00	1.35840	1.36200	1.35560	1.36030	1197684";;;;
